Item (Texto),Gravedad,Sesgo,Nombre del Equipo
"El caso ha despertado indignación debido a que denuncian que la joven habría sido abusada sexualmente por integrantes de la Policía. Al parecer, se quitó la vida horas después de haber sido dejada en libertad. La Policía Nacional se pronunció sobre los hechos y señaló que se trataría de una noticia falsa, la cual calificó como “mentira infame” en una imagen publicada en las redes sociales de la institución.","3,3,3,3,3,3,3,3,3","-1,-1,1,1,1,-1,1,1,-1",Sample
"Por todas partes se ven jóvenes y niños ocupados jugando al fútbol, ​​bailando, pintando, cantando, ""¿Terroristas? ¿En serio? ¿Es eso lo que ves a nuestro alrededor?”, pregunta Tata, girando su cámara 360 grados en un domingo soleado que se siente como la fiesta de un santo patrón. Por otro lado, Steven recuerda a Nicolás, herido hace varios días, llevado de urgencia al hospital en el cual perdió la vida. Daniela suspira: ""Tengo 24 años y una niña de 3, salgo con miedo en el estómago, sin saber si podré regresar a casa. Pero no puedo sentarme y no hacer nada. Estudié derecho en la universidad durante cinco semestres, no podía permitirme más. ¿Cual es mi futuro?""","2,3,1,2,3,3,3,2,1","-1,-1,0,-1,-1,-1,0,-1,-1",Sample
"Los expertos consultados por Forbes concluyen que, salvo el retiro de las exenciones tributarias —principalmente, las otorgadas en la tributaria del 2019 a bancos y a ultrarricos; y con las que se podrían conseguir 9 billones de pesos—, no ven de dónde sacar más plata a no ser que sea vía otra reforma tributaria. Parece que a los expertos se les escapó el pequeño detalle de que a Colombia en corrupción se le esfuman 50 billones de pesos anuales. ¿Será que, si dejaran de robar, sí nos alcanzaría?","3, 2,1,3,2,3,2,1","-1,-1,0,-1,-1,-1,0,-1,-1",Sample
"Los jóvenes se concentraron para protestar ante la comisaría donde supuestamente ocurrieron los hechos. El asunto se tornó violento cuando algunos manifestantes quemaron propiedad pública. Los antidisturbios trataron de dispersar a la gente con una tanqueta que arremetía contra ellos. En un vídeo se ve al camión atropellar a tres personas en la esquina de una calle. A continuación, cambia de dirección y estampa a otros chicos contra una valla. Ortega trató de auxiliar a uno de ellos cuando la tanqueta le golpeó en un costado y después en la cara.","3,3,2,3,3,3,3,3","-1,0,-1,-1,-1,0,0,0,-1",Sample
"La protesta en Colombia tiene su origen en una subida de impuestos a la que se le ha sumado un gran malestar social. La actuación de la policía no ha ayudado a apaciguar ese descontento. Jerónimo Castillo, investigador de la fundación Ideas para la Paz, un laboratorio de ideas, considera que las autoridades no han sabido responder a las demandas de la calle. “Hay un Estado que se ha ido desmontando su bienestar y se ha concentrado en asuntos policiales (la guerrilla, la guerra contra el narco). Ahora ha sido incapaz de comprender que hay un cambio en la manera de entender la gobernanza porque se tiene que negociar con múltiples actores sociales y políticos. Pero la única respuesta es policial”, sostiene.","2,2,2,2,2,2,2,1","-1,0,0,0,0,0,0",Sample
"El presidente Iván Duque volvió este miércoles hacer referencia a los bloqueos que se están registrando en varias regiones del país, en medio de las jornadas de protestas derivadas del paro nacional y agudizó su postura frente a esos hechos. El jefe de Estado afirmó que Colombia no puede estar “secuestrada” por los bloqueos, al insistir que esa práctica, que según el Gobierno nacional viola la Constitución, afecta el proceso y política de reactivación segura de la economía, el desarrollo del empleo y hasta la vacunación masiva contra el coronavirus.","2,1,2,1,2,1,2,2","0,0,1,1,1,1,1,1",Sample
"En un marco complejo, se vivió una insólita situación en una de las ciudades donde se presentaba protestas. Durante las manifestaciones en Buenaventura, se conoció un video donde un hombre con flores y globo en forma de corazón se acercaba a una mujer para expresarle su amor.","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0",Sample
"Varias organizaciones, nacionales e internacionales, han alertado sobre la preocupante escalada de violencia en contra de periodistas durante las protestas que cumplen un mes en el país. Aunque los hechos han sido denunciados ante la Fiscalía, persisten las agresiones y el silencio del Gobierno.","3,3,3,3,3,3,3,3,2","-1,-1,0,0,0,0,0,-1,-1",Sample
"Por medio de un comunicado, la Fiscalía General de la Nación, la Contraloría de la República y la Procuraduría General de la Nación emitieron un comunicado de cinco puntos en el que advierten a los manifestantes sobre la posibilidad de incurrir en un delito al bloquear las vías o al obstruirlas. Además, señalaron que los funcionarios podrían verse inmersos en sanciones de ser sorprendidos cometiendo esas conductas.","2,2,2,3,2,3,2","0,1,1,1,1,1,0",Sample
"""Rechazamos la intención de los manifestantes de coger los barrios populares de escudos para refugiarse, en eso también hemos solicitado a la Policía a no caer en esas provocaciones"", aseguró el alcalde de Cartago, Víctor Álvarez. En retaliación algunos manifestantes vandalizaron las instalaciones del Hospital San Juan de Dios, también una ambulancia e incineraron el único carro tanque de los bomberos voluntarios con el que contaba el municipio.","2,2,3,2,2,3,2","0,1,1,1,1,1,0",Sample
"Las empanadas y el pastel de yuca sufren las consecuencias del paro nacional... Estos dos alimentos están sufriendo las consecuencias del paro nacional. Por falta de materia prima, existen serios problemas para prepararlos. Harina, azúcar, huevo, papa y yuca escasean.","0,1,0","1,1,0,0,1,1,1",Sample
Vándalos quemaron un bus de TransMilenio en la estación Terreros de Soacha. TransMileno suspendió el servicio de la ruta G520. Un gigantesco trancón de más de dos kilómetros se registra en la entrada sur de Bogotá.,"1,1,2,1,2,1","1,1,1,1,1,0",Sample
"Más de 2.700 panaderías y reposterías de Antioquia ya tienen escasez de insumos. También no se tiene insumos o los costos son altos para los negocios que venden la popular arepa de chócolo. Los principales ingredientes del pan, los buñuelos y las arepas no están llegando por los bloqueos y lo poco que se consigue está muy caro. Leonardo Guevara se recorrió este lunes, 24 de mayo, todos los almacenes de cadena y de sus proveedores en Medellín buscando la materia prima para su panadería artesanal","1,1,1,1,2,1","1,1,1,1,1,1,0",Sample
"Personería de Medellín lleva 216 revisiones de lacrimógenos del Esmad sin encontrar gases vencidos. Según el funcionario, hasta el momento se han registrado tres denuncias en tal sentido, pero desde el ente con funciones de Ministerio Público en la capital antioqueña no se puede confirmar si los señalamientos son ciertos.","2,2,2,2,2,2,2","1,0,1,1",Sample
"“El odio ofusca el pensamiento –explica–. Una vez anida en el corazón, es difícil desarraigarlo...”. Me gustó el texto de Echeverry, muy oportuno. Y yo le agrego: ¿cuánta culpa tienen en esa orgía de odio los líderes políticos y de opinión? Basta leer los trinos de Gustavo Petro y sus seguidores, o de Álvaro Uribe y los suyos; las entrevistas de expresidentes como César Gaviria (otrora sabios de la tribu y hoy meros alimentadores del incendio) y los dichos de congresistas de ambos bando; o escuchar en la radio matinal la rabiosa agresividad de muchos de quienes preguntan y opinan; o repasar las redes sociales, donde tantos ponen su grano de pólvora para que la conflagración se extienda, incluida esa moda de la bandera de Colombia patas arriba, como si hacerlo (poner al país de cabeza) no fuera una invitación subliminal al anarquismo.","2,1,2,2,1,1,1","1,1,1,0,1",Sample
"Marbelle nunca ha ocultado su uribismo. Es más, en estos días convulsos, violentos, su discurso se ha radicalizado. A pesar de que Petro no ha hecho otra cosa que llamar a la calma, Marbelle insiste en que fue el senador de la Colombia Humana quien incendió Cali, quien vive una verdadera batalla campal. Sin embargo, con todo el cariño, Tatán Mejía la contradijo y le recordó que había sido Uribe, con sus trinos, quien radicalizó la protesta","0,1,0,0,0,0","-1,-1,-1,-1,-1,-1",Sample
"Desde que los grupos económicos manejen los medios de comunicación no habrá posibilidad de cambio. Jamás la habrá. Por eso, cuando ustedes prendan el televisor, llorarán porque le quemaron un banco a Sarmiento Angulo, se enternecerán al ver a los Esmad, tan buenos católicos, arrodillados rezándole a un Dios de la muerte. La protesta una vez más estará compuesta de marihuaneros desadaptados, desarrapados como Dilan Cruz que bien muerto está. En el país de Sarmiento Angulo los pobres son solo carne de cañón.","2,2,3,3,2,1,2","0,-1,-1,-1",Sample
"la verdad es que la situación se está poniendo color de hormiga cuando el presidente, en forma irresponsable como cualquier advenedizo improvisador, desata afirmaciones insensatas e imprudentes en las redes sociales, asegurando sin pruebas que el jefe de la oposición es el causante, responsable y culpable de los bloqueos a los que han tenido que acudir algunos protestantes del paro para poder hacer oír su voz, en lo que va corrido durante el mes de mayo, utilizando el jefe del Estado la mentira y el miedo de la manera más irresponsable como arma de propaganda política para ganar las elecciones en el 2022.","2,3,2,3,2,2,2","0,-1,-1,0,-1,-1,-1",Sample
"Molano afirmó el sábado que la Fuerza Pública identificó ya a los cabecillas de los actos vandálicos en la ciudad, entre los cuales, según el ministro, estarían alias ‘Andrés’, ‘Cheto’ y ‘Maiz’ al tiempo que ofreció una recompensa de hasta 50 millones de pesos por información sobre estos hechos.
Según el gobernador, estas declaraciones provocaron el rechazo de la ciudadanía caucana, porque se trata de líderes sociales reconocidos en la región. El gobernador pidió garantías para estos líderes y que se cumpla con los preceptos legales del debido proceso.","3,3,3,3,3,2","0,0,0,0,0,1",Sample
"Noche de terror en Tuluá (Valle): un muerto, saqueos y el palacio de justicia incinerado. “Sobre las 10 de la noche se registró la lamentable noticia que tiene que ver con el cuerpo sin vida que llega a un centro asistencial”, dijo el general Rodríguez. “Allí se identifica como Camilo Andrés Arango, de 18 años, estudiante, quien al parecer fallece por arma de fuego. Igualmente, se presenta la agresión de dos ciudadanos con arma de fuego que no se encuentran graves en este momento”, añadió. Por haber una persona muerta, millonarios daños y un ataque directo a la institucionalidad, las autoridades ofrecen hasta $100 millones de pesos de recompensa a quien dé información que conduzca a los responsables de los hechos violentos del pasado 25 de mayo.","3,3,3,3,3","0,0,0,0,0",Sample
"El martes, el ministro de Defensa de Colombia, Diego Molano Aponte, informó a través de su cuenta verificada de Twitter que «vándalos» han quemado el Palacio de Justicia de Tuluá, en el departamento del Valle del Cauca. Hasta el momento no se reportan heridos o muertos.","3,3,3,3,3","0,0,0,0,0",Sample
"La población vivió una noche de miedo y caos debido a los enfrentamientos entre manifestantes y la Fuerza Pública, choque que culminó con el aparatoso incendio de la sede del Palacio de Justicia municipal. Videos mostraban las carreras de la gente y los sustos debido a detonaciones de armas de fuego. Además, Camilo Andrés Arango García, estudiante de derecho, murió al recibir un tiro y colectivos aseguran que fueron uniformados durante los enfrentamientos de ayer.​","3,3,3,3,3","1,0,0,-1,0",Sample
"Aunque es incomparable, el suceso en Tuluá recuerda el episodio traumático de la toma del Palacio de Justicia en Bogotá en 1985, que dejó al menos 33 muertos, una decena de desaparecidos y sigue sin esclarecerse. Esa carga simbólica promete convertir la quema del Palacio en Tuluá en un argumento para los críticos del Paro y, en general, profundizar la caída del apoyo hacia el movimiento de protesta, que ya cumple un mes cerrando vías y afectando la economía nacional. Aunque el gobierno haya inmediatamente atribuido la quema a los manifestantes, el movimiento del Paro ya empieza a interpretar el hecho como un ejemplo más de que civiles paramilitares infiltran la protesta buscando desprestigiarla.","3,3,3,3,3","0,1,1,-1,0",Sample
"Atención: delincuentes queman el Palacio de Justicia en Tuluá, Valle del Cauca. Según informaciones recientes, el incendio no pudo ser sofocado pues los bloqueos y los hechos de vandalismo que se vivían en el lugar no permitían el paso de los bomberos. Por eso, muchos de los videos en redes sociales contienen llamados de quienes graban de que dejen pasar al personal de rescate para poder actuar a tiempo... El congresista aseguró que le dolía su ciudad natal y que le pedía a las autoridades y al gobierno nacional hacer lo posible para recuperar el orden. También había denuncias en redes sociales de supuestos excesos de la policía en la represión de la jornada.","3,3,3,3,3","1,0,0,1",Sample
"Los diálogos previos entre el Comité Nacional del Paro y el Gobierno parecen estancados luego de la reunión privada que se realizó este jueves y de la que ambas partes dieron versiones bastante diferentes. El presidente de la Central Unitaria de Trabajadores (CUT), Francisco Maltés, lamentó que por parte del Gobierno Nacional no hubiese una respuesta sobre el documento de garantías para el ejercicio de la protesta que había sido radicado el pasado lunes.","2,2,2,1,1","0,0,0,0,0",Sample
Los bloqueos en el país han dejado pérdidas del orden de 516 mil millones de pesos para el comercio paisa y cerca de nueve de cada diez empresarios del sector (88 %) reportan escasez de productos. La situación es adversa y ha provocado que se dejen de percibir $18 mil millones diarios.,"2,2,1,2,2","0,1,1,0,0",Sample
"“La Fiscalía General de la Nación capturó, con la Policía Nacional, a nueve personas. Tres de ellas implicadas en la quema y ataque terrorista contra el Palacio. Se les impuso medida de aseguramiento en centro carcelario por parte de juez de garantías”, afirmó el fiscal Barbosa.","3,2,3,1,2","0,0,0,0,0",Sample
"Aunque el Gobierno expresó toda su voluntad para continuar con los diálogos, le solicitó a los líderes del paro nacional, que se adelanta desde hace un mes en Colombia, que se desbloqueen las vías, en beneficio de la población colombiana que se ha visto afectado por este tema.","2,2,2,1,1","1,1,1,1,1",Sample
"Pudimos establecer varios hechos. Al menos un policía vestido de civil disparó ese día. Aunque el general Rodríguez aseguró que los agentes fueron atacados con disparos de una multitud, las heridas de dos de ellos no fueron por proyectiles, sino por armas traumáticas que disparan bolas de goma. En efecto los policías no estaban uniformados; iban sin chalecos reflectivos y sin gorras con el logo de la institución. La afirmación de Luis Carlos Vélez es falsa, pues no se trató de “videos fabricados”.","3,3,3,3,3","0,-1,0,-1,-1",Sample
"Francisco Barbosa, fiscal general de la Nación, confirmó que el servidor del CTI que falleció tras ser atacado por una enardecida comunidad le ocasionó la muerte a dos civiles en un punto de bloqueo ubicado en el sector de La Luna, centro de Cali. “Fredy Bermúdez Ortiz, hoy muerto en estos mismos hechos, era un funcionario adscrito al Cuerpo Técnico de Investigación, quien, de acuerdo con la información recopilada hasta este momento, disparó hacia varias personas, ocasionando la muerte de unos civiles”, indicó.","3,3,3","0,0,0",Sample
"Violencia desmedida en Cali: dos manifestantes fueron asesinados por un agente del CTI, que posteriormente fue linchado. En medio de un bloqueo que se registraba en el sector de La Luna en la ciudad de Cali, un hombre que al parecer intentó cruzar ese punto desfundó un arma de fuego y disparó contra varios de los manifestantes que se encontraban en ese lugar. Dos de ellos perdieron la vida. En medio del caos, la persona que disparó salió corriendo y fue perseguido por los mismos manifestantes que lograron detenerlo y lo lincharon.","3,3,3","0,0,0",Sample
"Agente del CTI habría sido asesinado por linchamiento en Cali. Una acción criminal y despiadada quedó en video cuando varios delincuentes lincharon a un funcionario de la Fiscalía a quien acusaron de disparar en contra de manifestantes en la ciudad de Cali. Se trata de un agente del Cuerpo Técnico de Investigaciones (CTI) que fue linchado en la calle y a la vista de decenas de personas, que se quedaron mirando cómo mataban a patadas al funcionario en un aparente caso de justicia por propia mano.","3,3,3","1,1,1",Sample
"A Andres Escobar se le ve portando un arma de fuego y dispararon contra los manifestantes en Cali, por lo menos 4 personas murieron ese día por disparos como los de Escobar. Este supuesto empresario, está junto a agentes de la policía nacional, por lo que se presume que hay una complicidad entre ambas partes. La Fiscalía de Colombia no se ha pronunciado por los hechos, sin embargo, este ciudadano podría pagar varios años de cárcel por haber cometido varios delitos. Posiblemente este “colombiano de bien” tenga relaciones con grupos narcoparamilitares que están en Cali.","3,3,3","-1,-1,-1",Sample
"Este domingo hay nuevas manifestaciones contra bloqueos: una jornada de paz y un carnaval de vida. El Comité de Movilización 30 de Mayo #YoProtejoMiPaís, convocó, para este domingo, dos marchas en dos diferentes puntos de la ciudad de Bogotá para protestar contra los bloqueos , que han causado desabastecimiento de algunos productos en tiendas y supermercados. El objetivo principal de estas movilizaciones, según indicaron, es decirle al país: “No más violencia ni más sangre, buscar la unión de empresarios, comerciantes, jóvenes y diferentes gremios”.","2,1,0","1,0,0",Sample
"Los hechos de los que es acusado Andrés Escobar, presunto accionista de una agencia publicitaria, ocurrieron el pasado 28 de mayo sobre la calle 16 con carrera 102; en mediaciones al CAI de la Policía en ese barrio del sur. El hecho generó mucha polémica, además, porque los civiles que disparaban armas de fuego posaron junto a integrantes de la fuerza pública sin que estos últimos evitaran el ataque armado contra los ciudadanos que se manifestaban en el marco del Paro Nacional; que cumplía un mes ese día. Sus declaraciones han recibido el apoyo de un sector de la sociedad, así como las críticas de otras personas de la opinión pública. Por su parte, Catherine Juvinao, activista política y consultora de comunicación política afirmó que Escobar muestra una mentalidad paramilitar. “Ilustra con claridad la mentalidad paramilitar; la justicia por mano propia es normal; la protesta se reduce a una manifestación vandálica”.","3,3,3","0,-1,-1",Sample
"«Soy una persona de bien», dice Andrés Escobar, el hombre que disparó en Cali: Andrés Escobar aseguró que la Policía agradeció su «solidaridad» con ellos, y permitieron que esta persona realizara los disparos. Ante esto, diferentes defensores de derechos humanos aseguraron que la Policía, además de disparar, permitió que otros ciudadanos lo hicieran. Entre esos ciudadanos estaba Escobar, quien aseguró que lo hizo para «defender la propiedad privada de mi comuna», y que lo que hizo lo considera «normal para cualquier ser humano. Yo era consciente de que me estaban filmando».","3,3,3","1,1,1",Sample
"Andrés Escobar, el empresario que fue captado en video disparando en Ciudad Jardín, habló tras los hechos registrados el pasado viernes en este barrio del sur de Cali y luego de que fuera expuesto en redes sociales, donde lo calificaron de “asesino, paramilitar y genocida”. Aseguró que, por las fotos que han estado circulando en redes sociales, ha sido objeto de “injurias, calumnias, múltiples amenazas de manera acelerada”. Afirmó que “los disparos fueron para disuadirlos, ya que estaban avanzando para quemar” el CAI de Ciudad Jardín.","3,3,2","1,1,1",Sample
"Si sumamos sus representantes a la Cámara y senadores, Antioquia se convierte en el departamento con mayor cantidad de congresistas: 28 en total. Son 18 representantes y 10 senadores (de origen antioqueño o que concentran su votación en el departamento). En su gran mayoría, se alinearon con Duque para salvar al ministro de Defensa, Diego Molano, sobre quien se adelantó una moción de censura en dos tiempos que buscaba retirarlo del cargo debido a su errático manejo de la fuerza pública en el marco del paro nacional; sus comentarios denigrantes sobre la protesta social y su indiferencia con los miles de víctimas que sigue dejando la represión policial.","2,2,2","-1,-1,-1",Sample
"El tire y afloje del liberalismo con Duque ya tiene varios episodios. Desde la despachada de Gaviria (su jefe único) contra Carrasquilla a su posterior invitación “rodear” a Duque. En el Congreso, la bancada se ha movido a ese ritmo. Los representas que apoyaron a Molona fueron: Julián Peinado, cabeza del liberalismo de Envigado (con tres exalcaldes procesados por corrupción) y un incondicional del uribismo. John Jairo Roldán, está en la Cámara desde 2010 y su fortaleza electoral se concentra en Bello y algunos municipios del bajo cauca. Roldán buscará llegar al Senado en 2022 y su fórmula a la Cámara será peinado ¡Tal para cual! Entre los senadores, no extraña el voto del cuestionado Julián Bedoya, aliado del grupo político de la Universidad de Medellín (la misma que le tramitó en tiempo exprés la tarjeta de abogado). Su coequipero en el grupo Renovación liberal, Juan Diego Echavarría (uno de los promotores del fallido proyecto para extenderle el periodo a Duque), se abstuvo de votar.","2,1,1","-1,-1,-1",Sample
"El 9 de mayo, civiles vestidos de blanco en esta misma zona del sur de Cali conocida como Ciudad Jardín dispararon abiertamente a un grupo de indígenas que supuestamente se estaban metiendo a sus conjuntos. La zona alberga urbanizaciones cerradas con casas de campo, frondosa naturaleza tropical y seguridad privada.... ""Acá hay un sentido de comunidad que se manifestó ese día"", me explicó. ""Porque nos costó mucho llegar a ser el barrio in (de moda, acomodado) y queremos que se mantenga así"". ""No queremos hacerle daño nadie, pero también queremos que se respete lo nuestro; no puede ser que la protesta por los derechos de unos acabe con los derechos de otros"", concluyó. El auge de estos barrios en Cali se dio durante el apogeo del narcotráfico en los años 90, pero, según Tedesco, ""la comunidad los ha ido sacando (a los narcos)"".","3,3,3","-1,0,0",Sample
"Luisito Comunica llegó a Cali para registrar el paro nacional en Colombia 2021. El youtuber llegó al país con el fin de documentar las protestas y contrastarlas con la información dada por los diferentes medios. A pesar de su firme objetivo, varias personas se han acercado para tomarse fotos con él. En la cuenta de YouTube destacan algunos videos, donde el creador de contenidos ha difundido las diversas situaciones que viven otras naciones. Desde antes de llegar al país, a través de redes sociales expuso los diferentes hechos del paro nacional y los ataques que se dieron hacia los marchantes que protestaban pacíficamente.","0,0,0","0,-1,0",Sample
"Cabal realizó un comentario respondiendo a una crítica que Miguel Polo, activista colombiano, hizo sobre el papel que ha desempeñado Luisito Comunica desde su llegada al país. “Luisito me cae bien, pero si viene a hacer ver a los del bloqueo como unos justicieros sociales, cuando son unos bandidos que violan los derechos a la libre circulación, trabajo y salud de la ciudadanía, mejor que se regrese a México. Suficiente tenemos con las ONG de Izquierda”, aseguró Miguel Polo a través de sus redes sociales. Sobre este comentario, la congresista perteneciente a la bancada del Centro Democrático respondió diciendo: “¿Quién lo patrocina?”. Este hecho fue criticado por diferentes sectores y grupos sociales que apoyan la protesta social que se desarrolla en Colombia, argumentando que no hay ningún tinte político detrás de la labor que Luisito está desempeñando en el territorio nacional.","1,1,1","0,-1,0",Sample
